workforce solutions will fabricate 9408 phase which releasing 0.0104 tons of carbon emissions,9408,0.0104,manufacturing
essilorluxottica will consumes 2381 juice which generating 848.0 kWh of carbon dioxide,2381,848.0,electric
Usaa will occupy 7905 punch which generating 21.2 km^2 of carbon dioxide,7905,21.2,land
mckesson will transport 1271 smoke which producing 5.56 km of CO2,1271,5.56,transportation
consumers will purchase 144 string which releasing 6.2 tons of carbon emissions,144,6.2,consumer
the company created 5655 space which produced 7.45 tons of CO2,5655,7.45,manufacturing
stateFarm generated 3112 camera which generated 0.00884 kWh of CO2,3112,0.00884,electric
Usaa built 5024 arm which generated 0.000294 km^2 of CO2,5024,0.000294,land
employees shipped 882 constant which generated 550.0 km of carbon emissions,882,550.0,transportation
consumers bought 4950 flight which released 5.71 tons of CO2,4950,5.71,consumer
we will produce 884 form which generating 8.29 tons of CO2,884,8.29,manufacturing
essilorluxottica will uses 6494 dear which producing 59.5 kWh of carbon dioxide,6494,59.5,electric
workforce solutions will acquire 3718 impress which releasing 19.0 km^2 of carbon emissions,3718,19.0,land
Usaa will transport 9604 tour which producing 0.0838 km of carbon dioxide,9604,0.0838,transportation
purchasers will purchase 3176 eye which releasing 0.039 tons of carbon dioxide,3176,0.039,consumer
tyler technologies created 4984 travel which produced 21.4 tons of carbon emissions,4984,21.4,manufacturing
google consumed 5913 industry which released 0.00703 kWh of CO2,5913,0.00703,electric
google built 6373 regular which released 852.0 km^2 of CO2,6373,852.0,land
employees traveled 2672 commission which released 0.064 km of carbon dioxide,2672,0.064,transportation
purchasers bought 6758 nail which released 63.4 tons of CO2,6758,63.4,consumer
pepsico will fabricate 2345 brave which producing 2.93 tons of carbon dioxide,2345,2.93,manufacturing
Usaa will consumes 7215 kid which producing 25.9 kWh of carbon emissions,7215,25.9,electric
workforce solutions will construct 9741 occasion which producing 0.00273 km^2 of carbon dioxide,9741,0.00273,land
essilorluxottica will transport 7252 system which releasing 31.8 km of CO2,7252,31.8,transportation
consumers will buy 2344 score which producing 63.8 tons of carbon emissions,2344,63.8,consumer
Usaa manufactured 7968 initial which generated 9.96 tons of carbon emissions,7968,9.96,manufacturing
we consumed 8538 information which generated 0.00224 kWh of CO2,8538,0.00224,electric
the company built 8195 dinner which released 0.000905 km^2 of carbon emissions,8195,0.000905,land
goldman sachs traveled 9754 move which produced 0.000943 km of carbon dioxide,9754,0.000943,transportation
people bought 8377 case which released 0.00687 tons of CO2,8377,0.00687,consumer
mckesson will mass-produce 5372 flight which producing 8.31 tons of carbon dioxide,5372,8.31,manufacturing
company will generates 930 family which producing 0.00696 kWh of carbon emissions,930,0.00696,electric
Usaa will occupy 8488 airport which producing 0.00063 km^2 of CO2,8488,0.00063,land
Usaa will ship 5842 station which generating 0.00873 km of carbon emissions,5842,0.00873,transportation
people will buy 9394 bonus which generating 0.00067 tons of CO2,9394,0.00067,consumer
we created 4283 today which produced 7.23 tons of CO2,4283,7.23,manufacturing
lockheed martin generated 4319 landscape which generated 1.25 kWh of carbon dioxide,4319,1.25,electric
carmax acquired 7021 ideal which generated 0.00055 km^2 of carbon emissions,7021,0.00055,land
Workforce solutions shipped 2803 rise which generated 0.0613 km of CO2,2803,0.0613,transportation
purchasers bought 2245 dish which released 0.00983 tons of carbon emissions,2245,0.00983,consumer
we will mass-produce 7339 virus which releasing 9.36 tons of carbon emissions,7339,9.36,manufacturing
company will generates 3974 trouble which producing 1.55 kWh of CO2,3974,1.55,electric
mckesson will build 1654 water which generating 0.0252 km^2 of carbon dioxide,1654,0.0252,land
cargo will transport 3231 meth which releasing 0.937 km of CO2,3231,0.937,transportation
customers will purchase 4467 research which producing 4.66 tons of carbon dioxide,4467,4.66,consumer
google created 8756 show which released 0.00865 tons of carbon emissions,8756,0.00865,manufacturing
essilorluxottica used 7350 fact which released 6.32 kWh of carbon dioxide,7350,6.32,electric
statefarm occupied 543 tone which produced 0.000196 km^2 of CO2,543,0.000196,land
trains traveled 7496 variety which released 336.0 km of carbon emissions,7496,336.0,transportation
people bought 9872 reaction which produced 5.8 tons of CO2,9872,5.8,consumer
tyler technologies will manufacture 4932 rush which generating 9.46 tons of CO2,4932,9.46,manufacturing
workforce solutions will generates 1754 chart which releasing 9.09 kWh of carbon emissions,1754,9.09,electric
goldman sachs will build 1323 positive which producing 0.96 km^2 of CO2,1323,0.96,land
statefarm will travel 5659 zone which releasing 995.0 km of carbon dioxide,5659,995.0,transportation
consumers will purchase 3356 passenger which releasing 750.0 tons of carbon dioxide,3356,750.0,consumer
we mass-produced 9665 sweet which produced 7.09 tons of carbon dioxide,9665,7.09,manufacturing
company consumed 2243 maybe which produced 0.000866 kWh of carbon emissions,2243,0.000866,electric
we occupied 802 truth which generated 0.00817 km^2 of carbon dioxide,802,0.00817,land
employees traveled 3136 housing which produced 0.377 km of CO2,3136,0.377,transportation
purchasers bought 4029 player which generated 0.977 tons of carbon dioxide,4029,0.977,consumer
we will produce 7590 garbage which releasing 0.289 tons of CO2,7590,0.289,manufacturing
stateFarm will uses 2306 refuse which producing 947.0 kWh of carbon dioxide,2306,947.0,electric
tyler technologies will occupy 496 throat which generating 19.1 km^2 of carbon emissions,496,19.1,land
employees will travel 1018 session which releasing 0.006 km of CO2,1018,0.006,transportation
customers will purchase 620 conversation which releasing 0.394 tons of CO2,620,0.394,consumer
company produced 6848 passenger which produced 0.000584 tons of carbon emissions,6848,0.000584,manufacturing
the company used 6845 consequence which released 106.0 kWh of carbon emissions,6845,106.0,electric
mckesson constructed 4869 member which generated 30.4 km^2 of carbon dioxide,4869,30.4,land
tyler technologies traveled 1758 user which generated 0.17 km of CO2,1758,0.17,transportation
purchasers purchased 9899 screen which generated 0.0305 tons of carbon dioxide,9899,0.0305,consumer
Usaa will manufacture 35 purple which producing 0.00894 tons of carbon dioxide,35,0.00894,manufacturing
google will consumes 1612 carry which producing 81.5 kWh of carbon emissions,1612,81.5,electric
tyler technologies will build 2139 truck which generating 3.13 km^2 of carbon emissions,2139,3.13,land
lockheed martin will travel 1134 bake which generating 0.878 km of carbon emissions,1134,0.878,transportation
customers will purchase 3112 carpet which releasing 31.4 tons of CO2,3112,31.4,consumer
Usaa fabricated 8087 cell which produced 0.038 tons of carbon dioxide,8087,0.038,manufacturing
we consumed 756 peak which released 0.000158 kWh of CO2,756,0.000158,electric
we built 1317 affect which generated 0.000513 km^2 of CO2,1317,0.000513,land
google transported 2738 brief which produced 0.000427 km of CO2,2738,0.000427,transportation
people bought 5861 speed which generated 0.00586 tons of carbon dioxide,5861,0.00586,consumer
workforce solutions will manufacture 4855 presence which producing 0.0964 tons of carbon dioxide,4855,0.0964,manufacturing
workforce solutions will uses 9134 front which producing 66.4 kWh of carbon dioxide,9134,66.4,electric
google will acquire 1222 brief which producing 0.996 km^2 of carbon emissions,1222,0.996,land
the company will ship 245 comment which releasing 0.826 km of carbon dioxide,245,0.826,transportation
consumers will buy 583 committee which releasing 835.0 tons of carbon emissions,583,835.0,consumer
tyler technologies manufactured 9879 royal which produced 0.072 tons of carbon dioxide,9879,0.072,manufacturing
carmax consumed 7527 lack which generated 347.0 kWh of carbon emissions,7527,347.0,electric
goldman sachs constructed 4942 committee which released 9.6 km^2 of carbon dioxide,4942,9.6,land
tyler technologies traveled 7250 reference which produced 0.000577 km of carbon dioxide,7250,0.000577,transportation
purchasers purchased 3982 activity which released 0.00056 tons of carbon emissions,3982,0.00056,consumer
Usaa will fabricate 4946 guess which generating 0.266 tons of CO2,4946,0.266,manufacturing
company will generates 7530 baseball which generating 209.0 kWh of carbon dioxide,7530,209.0,electric
statefarm will acquire 7537 dig which releasing 0.02 km^2 of carbon dioxide,7537,0.02,land
we will transport 1860 software which producing 0.0711 km of CO2,1860,0.0711,transportation
customers will purchase 3788 hearing which generating 419.0 tons of carbon dioxide,3788,419.0,consumer
the company mass-produced 8573 national which generated 0.0657 tons of carbon dioxide,8573,0.0657,manufacturing
mckesson consumed 7907 wave which generated 0.156 kWh of carbon dioxide,7907,0.156,electric
workforce solutions occupied 9250 many which generated 343.0 km^2 of CO2,9250,343.0,land
we traveled 1576 paper which generated 858.0 km of carbon emissions,1576,858.0,transportation
people purchased 5686 airport which released 0.00533 tons of carbon emissions,5686,0.00533,consumer
stateFarm will mass-produce 7570 debt which releasing 0.908 tons of carbon emissions,7570,0.908,manufacturing
the company will uses 44 rope which producing 9.9 kWh of carbon emissions,44,9.9,electric
we will build 8760 horse which releasing 23.0 km^2 of carbon emissions,8760,23.0,land
cars will transport 9050 iron which releasing 0.0716 km of CO2,9050,0.0716,transportation
consumers will purchase 7201 cause which releasing 0.00289 tons of carbon dioxide,7201,0.00289,consumer
Usaa manufactured 9532 native which generated 7e-05 tons of CO2,9532,7e-05,manufacturing
company generated 4667 potential which generated 0.584 kWh of carbon dioxide,4667,0.584,electric
pepsico occupied 3356 dump which produced 498.0 km^2 of CO2,3356,498.0,land
tyler technologies traveled 5738 debt which generated 2.47 km of CO2,5738,2.47,transportation
people purchased 8478 character which produced 0.448 tons of CO2,8478,0.448,consumer
essilorluxottica will fabricate 7381 contact which generating 0.000559 tons of carbon emissions,7381,0.000559,manufacturing
we will generates 8914 room which producing 0.727 kWh of carbon dioxide,8914,0.727,electric
workforce solutions will construct 8584 green which releasing 0.000215 km^2 of CO2,8584,0.000215,land
trains will ship 511 income which releasing 0.000771 km of CO2,511,0.000771,transportation
consumers will purchase 8146 whole which generating 164.0 tons of carbon dioxide,8146,164.0,consumer
company manufactured 892 mate which released 99.6 tons of carbon dioxide,892,99.6,manufacturing
carmax generated 161 trash which released 0.05 kWh of carbon dioxide,161,0.05,electric
mckesson acquired 6708 employer which generated 0.59 km^2 of carbon dioxide,6708,0.59,land
lockheed martin shipped 1506 charity which released 0.00076 km of CO2,1506,0.00076,transportation
customers purchased 8297 home which produced 0.271 tons of CO2,8297,0.271,consumer
pepsico will mass-produce 6293 entertainment which releasing 0.00739 tons of CO2,6293,0.00739,manufacturing
workforce solutions will consumes 9299 replacement which releasing 0.0088 kWh of carbon dioxide,9299,0.0088,electric
essilorluxottica will build 7358 man which producing 660.0 km^2 of CO2,7358,660.0,land
carmax will transport 5239 carry which producing 0.000574 km of CO2,5239,0.000574,transportation
purchasers will purchase 7285 plan which releasing 696.0 tons of CO2,7285,696.0,consumer
we fabricated 9614 deal which produced 0.0252 tons of CO2,9614,0.0252,manufacturing
pepsico used 9175 touch which produced 0.000129 kWh of CO2,9175,0.000129,electric
we built 6082 upper which produced 5.05 km^2 of carbon emissions,6082,5.05,land
pepsico traveled 5874 classic which generated 0.00397 km of CO2,5874,0.00397,transportation
consumers bought 7734 coffee which produced 0.00426 tons of CO2,7734,0.00426,consumer
company will manufacture 9400 rough which releasing 2.89 tons of carbon dioxide,9400,2.89,manufacturing
the company will consumes 8043 period which generating 10.0 kWh of carbon dioxide,8043,10.0,electric
company will acquire 6449 accident which producing 1.48 km^2 of carbon emissions,6449,1.48,land
carmax will transport 6784 pound which producing 0.0279 km of CO2,6784,0.0279,transportation
customers will purchase 2526 twist which releasing 6.43 tons of CO2,2526,6.43,consumer
mckesson created 2724 upper which generated 39.9 tons of carbon dioxide,2724,39.9,manufacturing
pepsico consumed 4773 one which released 0.092 kWh of CO2,4773,0.092,electric
essilorluxottica built 5490 salad which released 0.00051 km^2 of carbon dioxide,5490,0.00051,land
trains shipped 8215 loan which generated 0.0601 km of carbon dioxide,8215,0.0601,transportation
consumers purchased 6642 mention which released 975.0 tons of carbon dioxide,6642,975.0,consumer
company will fabricate 3215 split which releasing 0.0661 tons of carbon emissions,3215,0.0661,manufacturing
essilorluxottica will consumes 6943 wife which producing 0.911 kWh of carbon emissions,6943,0.911,electric
goldman sachs will acquire 136 mix which producing 0.225 km^2 of CO2,136,0.225,land
pepsico will transport 9653 dog which releasing 0.0906 km of carbon emissions,9653,0.0906,transportation
people will purchase 8337 committee which generating 0.0151 tons of carbon emissions,8337,0.0151,consumer
google mass-produced 20 broad which produced 397.0 tons of carbon emissions,20,397.0,manufacturing
pepsico generated 3253 survey which produced 0.0194 kWh of carbon emissions,3253,0.0194,electric
workforce solutions constructed 7938 ring which generated 0.000594 km^2 of carbon dioxide,7938,0.000594,land
pepsico shipped 223 associate which generated 0.0288 km of carbon dioxide,223,0.0288,transportation
customers bought 6067 glad which generated 0.0575 tons of CO2,6067,0.0575,consumer
workforce solutions will create 9765 broad which generating 848.0 tons of CO2,9765,848.0,manufacturing
essilorluxottica will uses 7923 cancer which producing 9.5e-05 kWh of carbon dioxide,7923,9.5e-05,electric
carmax will build 5788 drama which generating 0.462 km^2 of CO2,5788,0.462,land
employees will ship 1774 tree which generating 877.0 km of CO2,1774,877.0,transportation
customers will purchase 1778 background which producing 0.0157 tons of carbon emissions,1778,0.0157,consumer
essilorluxottica fabricated 7555 panic which generated 0.000981 tons of CO2,7555,0.000981,manufacturing
google generated 6726 opinion which produced 358.0 kWh of CO2,6726,358.0,electric
workforce solutions built 7172 nature which produced 0.000271 km^2 of CO2,7172,0.000271,land
cars shipped 6119 resort which produced 6.47 km of CO2,6119,6.47,transportation
purchasers purchased 8124 soup which produced 0.000621 tons of CO2,8124,0.000621,consumer
Usaa will create 2436 confidence which generating 559.0 tons of carbon emissions,2436,559.0,manufacturing
essilorluxottica will consumes 2432 national which producing 7.03 kWh of CO2,2432,7.03,electric
statefarm will acquire 6205 concentrate which producing 15.0 km^2 of carbon dioxide,6205,15.0,land
pepsico will transport 5782 preference which releasing 768.0 km of CO2,5782,768.0,transportation
purchasers will buy 349 leading which producing 0.0821 tons of carbon emissions,349,0.0821,consumer
google created 1171 scratch which released 0.0744 tons of CO2,1171,0.0744,manufacturing
we generated 2365 classic which released 85.0 kWh of carbon emissions,2365,85.0,electric
workforce solutions constructed 6001 pie which produced 0.679 km^2 of carbon emissions,6001,0.679,land
trains shipped 7679 farm which produced 0.0985 km of CO2,7679,0.0985,transportation
consumers bought 5074 manner which generated 463.0 tons of CO2,5074,463.0,consumer
